a,Estimated Internet users per 100 inhabitants,c,d,e,f,g,h,i,j,k,l,Metadata for estimated Internet users per 100 inhabitants,n,o,p,q,r,s,t,u,v,w,x,y,z,aa,bb,cc,dd,ee,ff
Bahamas,8.0,11.8,18.0,20.0,22.0,25.0,26.0,27.0,31.54,33.88,,Estimated based on 3 times the number of subscribers.,ITU estimate.,Estimated based on 3 times the number of subscribers.,ITU estimate.,Estimated based on 3 times the number of subscribers.,ITU estimate.,Estimated based on 3 times the number of subscribers.,ITU estimate.,Estimated based on 3 times the number of subscribers.,ITU estimate.,Estimated based on 3 times the number of subscribers.,ITU estimate.,Estimated based on 3 times the number of subscribers.,ITU estimate.,Estimated based on 3 times the number of subscribers.,ITU estimate.,Estimated based on 3 times the number of subscribers.,BAHAMAS TELECOMMUNICATIONS COMPANY LTD.,Estimated based on 3 times the number of subscribers.,BAHAMAS TELECOMMUNICATIONS COMPANY LTD.
Bahrain,6.15373254647607,15.0386342513918,18.0507208881153,21.5549449917804,21.4586805077435,21.3037335136591,28.2439524318043,32.91,51.95,53.0,,,,,,,,,,,,,,,,,Telecommunications Regulatory Authority (TRA),,Telecommunications Regulatory Authority (TRA),,Telecommunications Regulatory Authority (TRA)
Bangladesh,0.0710394230507683,0.129807973947512,0.13992028850905,0.163877665498048,0.199036333744363,0.24163732563671,0.289457772327452,0.316952163652392,0.347499722000222,0.380530822558952,,,,,,,,,,,,,,,,,ITU estimate.,,ITU estimate.,,ITU estimate.
Barbados,3.97367835457927,11.9364503383984,27.836322424146,39.6896271159532,49.8,56.0708546066945,,,,,,,Cable and Wireless (Barbados) Limited.,,ITU estimate.,,ITU estimate.,,Ministry of Energy and Public Utilities.,,National Council for Science and Technology (NCST).,,ITU estimate.,,,,,,,,
Belarus,1.86039812615388,4.30061602151712,8.95097131467325,16.2168500451374,24.9526060344294,26.4864123685841,,,,27.43,,,Beltelecom.,,Beltelecom.,,Beltelecom.,,Ministry of Communications and Informatization.,,Ministry of Communications and Informatization.,,Ministry of Communications and Informatization.,,,,,,,Population age 16+.,National Statistical Committee.
Belgium,29.4316916924341,31.2883955056566,46.33,49.97,53.86,59.81,64.18,69.27,71.25,76.2,,,Institut belge des services postaux et des télécommunications (IBPT).,,Institut belge des services postaux et des télécommunications (IBPT).,,Institut belge des services postaux et des télécommunications ,,Institut belge des services postaux et des télécommunications ,,Institut belge des services postaux et des télécommunications ,Population age 16-74.,Eurostat,Population age 16-74.,Eurostat,Population age 16-74.,Eurostat,Population age 16-74.,Eurostat,Population age 16-74.,Eurostat.
Belize,5.96383530272428,,5.68425121358763,,5.7936168825996,9.21028860085089,10.4016781374062,10.86,11.31,11.73,,,Belize Telecommunications Ltd (BTL).,,,,ITU estimate.,,,,Belize Telecommunications Ltd (BTL).,,Belize Telecommunications Ltd (BTL).,,Belize Telecommunications Ltd (BTL).,,Belize Telemedia Limited,,Belize Telemedia Limited,,Belize Telemedia Limited
Benin,0.225247851473369,0.363417890016082,0.7029455951039,0.951327114915695,1.18254096518994,1.27103143947107,1.53785434624704,1.79,1.85,2.24,,,,,,,,,,,,,,,,,Autorité Transitoire de Régulation des Postes et Télécommunications,,Autorité Transitoire de Régulation des Postes et Télécommunications,,Autorité Transitoire de Régulation des Postes et Télécommunications
Bermuda,42.9498600152711,47.5096998970623,52.0315973700393,56.5220121836337,60.9908670086326,65.4470657898838,69.8996551617012,74.3505940302669,82.3,83.25,,,,,,,,,,,,,,,,,,Population age 18+.,Bermuda Government Department of Statistics.,,
Bhutan,0.40094444691941,0.864628564215099,1.67580258375242,2.43691239949767,3.15698419613711,3.84710674490143,4.5183172581646,5.92,6.55,7.17,,,,,,,,,,,,,,,,,Bhutan InfoComm and Media Authority,,Bhutan InfoComm and Media Authority,,Bhutan InfoComm and Media Authority
Bolivia,1.4427635847914,2.1204625341365,3.11719294696997,3.50859640072336,4.43992460120042,5.22758395663196,6.20067125473576,10.4992443168903,10.831315871808,11.1782991951625,,,SITTEL. ITU estimate.,,SITTEL. ITU estimate.,,SITTEL. ITU estimate.,,Superintendencia de Telecomunicaciones.,,Superintendencia de Telecomunicaciones.,,Superintendencia de Telecomunicaciones.,,Superintendencia de Telecomunicaciones.,,ITU estimate.,,ITU estimate.,,ITU estimate.
Bosnia and Herzegovina,1.08296074971207,1.20052695129649,2.64826791361244,3.96503683387051,15.4689716227665,21.3267010007738,25.1223856852117,27.92,34.66,37.74,,,Public Enterprise PTT Bosnia and Herzegovina (PTT BIH).,,Public Enterprise PTT Bosnia and Herzegovina (PTT BIH).,,Communications Regulatory Agency B & H.,,ITU estimate.,,Communications Regulatory Agency B & H.,,Communications Regulatory Agency B & H.,,Communications Regulatory Agency B & H.,,Communication Regulatory Agency,,Communication Regulatory Agency,,Communication Regulatory Agency
Botswana,2.90266662177209,3.43088678702599,3.38592235064273,3.3451901740614,3.30488925316113,3.26255403605122,4.28993297515968,5.28,6.25,6.15,,,Botswana Telecommunication Corporation.,,Botswana Telecommunication Corporation.,,Botswana Telecommunication Corporation.,,Botswana Telecommunications Authority (BTA).,,Botswana Telecommunications Authority (BTA).,,ITU estimate.,,Botswana Telecommunications Authority (BTA).,,BOTSWANA TELECOMMUNICATIONS AUTHORITY,,BOTSWANA TELECOMMUNICATIONS AUTHORITY,,Estimate from BOTSWANA TELECOMMUNICATIONS AUTHORITY
Brazil,2.87068515854108,4.52849486902851,9.14942508560748,13.2075861035303,19.073672274442,21.022747248827,28.1783801797929,30.88,33.83,39.22,,,,,,,,,,,,Population age 10+.,IBGE.,Population age 10+. Estimated based on urban/rural distribution of Internet users in 2008 (as 2006 Survey collected only urban data).,ITU estimate based on Brazilian Internet Steering Committee.,Population age 10+. Estimated based on urban/rural distribution of Internet users in 2008 (as 2006 Survey collected only urban data).,ITU estimate based on Brazilian Internet Steering Committee.,Population age 10+ using internet in the last 3 months.,Brazilian Internet Steering Committee.,Population age 10+ using internet in the last 3 months.,Brazilian Internet Steering Committee.
British Virgin Islands,,,18.8857412653447,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,8.99628453448726,12.9177690823013,15.329879855735,19.5950032207342,29.7156041447864,36.4663919475782,42.1863491609307,44.68,67.07,78.78,,,Jabatan Telekom Brunei (JTB). Ministry of Communications.,,Jabatan Telekom Brunei (JTB). Ministry of Communications.,,AiTi.,,AiTi.,,AiTi.,,AiTi.,,AiTi.,,Authority for Info-communications Technology Industry of Brunei Darussalam (AITI),,Authority for Info-communications Technology Industry of Brunei Darussalam (AITI),,Authority for Info-communications Technology Industry of Brunei Darussalam (AITI)
Bulgaria,5.37092346908696,7.6122977487982,9.08,12.04,18.13,19.97,27.09,33.64,39.67,45.0,,,Bulgarian Telecommunications Company Ltd.,,Bulgarian Telecommunications Company Ltd.,,Communications Regulation Commission. Communications Regulation Commission. Communications Regulation Commission. Communications Regulation Commission. Communications Regulation Commission. Communications Regulation Commission. Communications Regulation Commission.,,Communications Regulation Commission.,Population age 16-74.,Eurostat,Population age 16-74.,Communications Regulation Commission.,Population age 16-74.,Eurostat,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.
Burkina Faso,0.0770801689426014,0.157732464653607,0.200992597925001,0.373440303233526,0.400295285492178,0.469914488656657,0.632707564461829,0.75,0.92,1.13,,,,,,,,,,,,,,,,,Autorité de Régulation des Télécommunications Électroniques (ARCE),,Autorité de Régulation des Télécommunications Électroniques (ARCE),,Autorité de Régulation des Télécommunications Électroniques (ARCE)
